country;postcode;city;language
BG;8210;Kableshkovo;BG
BG;8230;Nesebar;BG
BG;8250;Obzor;BG
BG;8260;Tsarevo;BG
BG;8280;Ahtopol;BG
BG;8290;Primorsko;BG
BG;8300;Sredets;BG
BG;8162;Malko Tarnovo;BG
BG;8400;Karnobat;BG
BG;8470;Sungurlare;BG
BG;8500;Aytos;BG
BG;8600;Yambol;BG
BG;8680;Straldzha;BG
BG;8700;Elhovo;BG
BG;8720;Bolyarovo;BG
BG;8800;Sliven;BG
BG;8870;Kermen;BG
BG;8890;Tvarditsa;BG
BG;8895;Shivachevo;BG
BG;8900;Nova Zagora;BG
BG;8970;Kotel;BG
BG;9000;Varna;BG
BG;9101;Byala (Varna);BG
BG;9120;Dolni Chiflik;BG
BG;9154;Aksakovo;BG
BG;9160;Devnya;BG
BG;9170;Suvorovo;BG
BG;9178;Beloslav;BG
BG;9200;Provadiya;BG
BG;9250;Dalgopol;BG
BG;9280;Valchidol;BG
BG;9300;Dobrich;BG
BG;9450;Tervel;BG
BG;9500;General Toshevo;BG
BG;9600;Balchik;BG
BG;9650;Kavarna;BG
BG;9680;Shabla;BG
BG;9700;Shumen;BG
BG;9820;Smyadovo;BG
BG;9850;Veliki Preslav;BG
BG;9870;Varbitsa;BG
BG;9900;Novi Pazar;BG
BG;9920;Pliska;BG
BG;9930;Kaspichan;BG
BG;9960;Kaolinovo;BG
