3534;Diófa                  
3531;Dobó István            
3529;Dobozy Mihály          
3525;Dóczy József           
3508;Dohány                 
3531;Domb                   
3533;Domb                   
3525;Dombalja
3534;Dorottya               
3525;Dózsa György           
3525;Dr. Antall József
3508;Dr. Kalocsay Kálmán
3528;Dráva                  
3532;Drenka
3529;Dugonics András        
3528;Duna                   
3527;Éder György            
3508;Egres                  
3521;Egressy Béni           
3528;Egressy Gábor          
3508;Egri                   
3515;Egyetem                
3515;Egyetemváros
3516;Egyetértés             
3532;Előd                   
3534;Előhegy                
3535;Előhegy                
3533;Első                   
3534;Endresz György         
3535;Endrődi Sándor         
3519;Enyedi György          
3529;Eötvös Lóránd          
3535;Eper                   
3526;Eperjesi               
3534;Epres
3534;Erdélyi                
3535;Erdész                 
3518;Erdő                   
3535;Erdő                   
3518;Erenyő                 
3518;Erenyővölgy
3521;Erkel Ferenc           
3531;Ernye Bán              
3517;Erzsébet               
3530;Erzsébet               
3516;Erzsébet királyné      
3525;Estike                 
3519;Esze Tamás             
3531;Eszperantó 
3531;Eszperantó             
3508;Eszperantó             
3525;Eszter                 
3516;Esztergályos           
3529;Eszterházy Antal       
3525;Fábián                 
3525;Fábián
3532;Fadrusz János          
3519;Fagyöngy               
3519;Fajdos                 
3518;Faller Jenő            
3518;Farbaky István         
3516;Farkas
3516;Farkas Antal           
3529;Farkas Jenő            
3521;Fáskert                
3530;Fasor                  
3518;Fátyolka               
3525;Fazekas                
3517;Fazola Frigyes
3534;Fazola Henrik          
3519;Fecske                 
3516;Felhő                  
3525;Felmező                
3530;Felső                  
3518;Felsőkőpad
3529;Felsőruzsin
3501;Felsőszentgyörgy       
3533;Felsőszinva            
3532;Fém                    
3535;Fényesvölgyi           
3529;Fényi Gyula            
3519;Fenyő                  
3534;Fenyves                
3532;Ferenc                 
3534;Ferenczi Sándor        
3525;Feszty Árpád           
3518;Finkey József          
3508;Fogarasi               
3527;Fonoda                 
3528;Forgács Antal          
3525;Forrásvölgy            
3558;Fő
3530;Földes Ferenc          
3528;Fövényszer             
3528;Franklin Benjámin      
3508;Futó                   
