country;Code_postal;Nom_de_la_commune;country
FR;1200;INJOUX GENISSIAT;FR
FR;1680;INNIMOND;FR
FR;1430;IZENAVE;FR
FR;1580;IZERNORE;FR
FR;1300;IZIEU;FR
FR;1480;JASSANS RIOTTIER;FR
FR;1250;JASSERON;FR
FR;1340;JAYAT;FR
FR;1250;JOURNANS;FR
FR;1800;JOYEUX;FR
FR;1640;JUJURIEUX;FR
FR;1450;LABALME;FR
FR;1150;LAGNIEU;FR
FR;1290;LAIZ;FR
FR;1130;LALLEYRIAT;FR
FR;1200;LANCRANS;FR
FR;1430;LANTENAY;FR
FR;1330;LAPEYROUSE;FR
FR;1350;LAVOURS;FR
FR;1200;LEAZ;FR
FR;1410;LELEX;FR
FR;1240;LENT;FR
FR;1560;LESCHEROUX;FR
FR;1150;LEYMENT;FR
FR;1450;LEYSSARD;FR
FR;1420;LHOPITAL;FR
FR;1680;LHUIS;FR
FR;1260;LOCHIEU;FR
FR;1680;LOMPNAS;FR
FR;1260;LOMPNIEU;FR
FR;1360;LOYETTES;FR
FR;1090;LURCY;FR
FR;1300;MAGNIEU;FR
FR;1430;MAILLAT;FR
FR;1340;MALAFRETAZ;FR
FR;1560;MANTENAY MONTLIN;FR
FR;1570;MANZIAT;FR
FR;1851;MARBOZ;FR
FR;1680;MARCHAMP;FR
FR;1300;MARIGNIEU;FR
FR;1240;MARLIEUX;FR
FR;1340;MARSONNAS;FR
FR;1100;MARTIGNAT;FR
FR;1600;MASSIEUX;FR
FR;1300;MASSIGNIEU DE RIVES;FR
FR;1580;MATAFELON GRANGES;FR
FR;1370;MEILLONNAS;FR
FR;1450;MERIGNAT;FR
FR;1480;MESSIMY SUR SAONE;FR
FR;1800;MEXIMIEUX;FR
FR;1250;BOHAS MEYRIAT RIGNAT;FR
FR;1660;MEZERIAT;FR
FR;1170;MIJOUX;FR
FR;1410;MIJOUX;FR
FR;1390;MIONNAY;FR
FR;1700;MIRIBEL;FR
FR;1600;MISERIEUX;FR
FR;1140;MOGNENEINS;FR
FR;1250;MONTAGNAT;FR
FR;1470;MONTAGNIEU;FR
FR;1200;MONTANGES;FR
FR;1090;MONTCEAUX;FR
FR;1310;MONTCET;FR
FR;1800;LE MONTELLIER;FR
FR;1390;MONTHIEUX;FR
FR;1120;MONTLUEL;FR
FR;1090;MONTMERLE SUR SAONE;FR
FR;1310;MONTRACOL;FR
FR;1460;MONTREAL LA CLUSE;FR
FR;1340;MONTREVEL EN BRESSE;FR
FR;1460;NURIEUX VOLOGNAT;FR
FR;1300;MURS ET GELIGNIEUX;FR
FR;1130;NANTUA;FR
FR;1460;NANTUA;FR
FR;1300;NATTAGES;FR
FR;1400;NEUVILLE LES DAMES;FR
FR;1160;NEUVILLE SUR AIN;FR
FR;1130;LES NEYROLLES;FR
FR;1700;NEYRON;FR
FR;1120;NIEVROZ;FR
FR;1230;NIVOLLET MONTGRIFFON;FR
FR;1230;ONCIEU;FR
FR;1510;ORDONNAZ;FR
FR;1210;ORNEX;FR
FR;1430;OUTRIAZ;FR
FR;1100;OYONNAX;FR
FR;1190;OZAN;FR
FR;1600;PARCIEUX;FR
FR;1300;PARVES;FR
FR;1630;PERON;FR
FR;1960;PERONNAS;FR
FR;1800;PEROUGES;FR
FR;1540;PERREX;FR
FR;1260;LE PETIT ABERGEMENT;FR
FR;1430;PEYRIAT;FR
FR;1300;PEYRIEU;FR
FR;1140;PEYZIEUX SUR SAONE;FR
FR;1270;PIRAJOUX;FR
FR;1120;PIZAY;FR
FR;1130;PLAGNE;FR
FR;1330;LE PLANTAY;FR
FR;1130;LE POIZAT;FR
FR;1310;POLLIAT;FR
FR;1350;POLLIEU;FR
FR;1450;PONCIN;FR
FR;1160;PONT D AIN;FR
FR;1190;PONT DE VAUX;FR
FR;1290;PONT DE VEYLE;FR
FR;1460;PORT;FR
FR;1550;POUGNY;FR
FR;1250;POUILLAT;FR
FR;1300;PREMEYZEL;FR
FR;1110;PREMILLIEU;FR
FR;1370;PRESSIAT;FR
FR;1280;PREVESSIN MOENS;FR
FR;1160;PRIAY;FR
FR;1510;PUGIEU;FR
FR;1250;RAMASSE;FR
FR;1390;RANCE;FR
FR;1990;RELEVANT;FR
FR;1750;REPLONGES;FR
FR;1250;REVONNAS;FR
FR;1600;REYRIEUX;FR
FR;1190;REYSSOUZE;FR
FR;1800;RIGNIEUX LE FRANC;FR
FR;1400;ROMANS;FR
FR;1510;ROSSILLON;FR
FR;1260;RUFFIEU;FR
FR;1450;ST ALBAN;FR
FR;1380;ST ANDRE DE BAGE;FR
FR;1390;ST ANDRE DE CORCY;FR
FR;1290;ST ANDRE D HUIRIAT;FR
FR;1240;ST ANDRE LE BOUCHOUX;FR
FR;1960;ST ANDRE SUR VIEUX JONC;FR
FR;1190;ST BENIGNE;FR
FR;1300;ST BENOIT;FR
FR;1600;ST BERNARD;FR
FR;1300;ST BOIS;FR
FR;1300;ST CHAMP;FR
FR;1120;STE CROIX;FR
FR;1380;ST CYR SUR MENTHON;FR
FR;1000;ST DENIS LES BOURG;FR
FR;1500;ST DENIS EN BUGEY;FR
FR;1340;ST DIDIER D AUSSIAT;FR
FR;1600;ST DIDIER DE FORMANS;FR
FR;1140;ST DIDIER SUR CHALARONNE;FR
FR;1800;ST ELOI;FR
FR;1370;ST ETIENNE DU BOIS;FR
FR;1140;ST ETIENNE SUR CHALARONNE;FR
FR;1190;ST ETIENNE SUR REYSSOUZE;FR
FR;1600;STE EUPHEMIE;FR
FR;1630;ST GENIS POUILLY;FR
FR;1380;ST GENIS SUR MENTHON;FR
FR;1400;ST GEORGES SUR RENON;FR
FR;1130;ST GERMAIN DE JOUX;FR
FR;1300;ST GERMAIN LES PAROISSES;FR
FR;1240;ST GERMAIN SUR RENON;FR
FR;1630;ST JEAN DE GONVILLE;FR
FR;1800;ST JEAN DE NIOST;FR
FR;1390;ST JEAN DE THURIGNEUX;FR
FR;1640;ST JEAN LE VIEUX;FR
FR;1560;ST JEAN SUR REYSSOUZE;FR
FR;1290;ST JEAN SUR VEYLE;FR
FR;1150;STE JULIE;FR
FR;1560;ST JULIEN SUR REYSSOUZE;FR
FR;1540;ST JULIEN SUR VEYLE;FR
FR;1250;ST JUST;FR
FR;1750;ST LAURENT SUR SAONE;FR
FR;1390;ST MARCEL;FR
FR;1510;ST MARTIN DE BAVEL;FR
FR;1430;ST MARTIN DU FRENE;FR
FR;1160;ST MARTIN DU MONT;FR
FR;1310;ST MARTIN LE CHATEL;FR
FR;1700;ST MAURICE DE BEYNOST;FR
FR;1800;ST MAURICE DE GOURDANS;FR
FR;1500;ST MAURICE DE REMENS;FR
FR;1560;ST NIZIER LE BOUCHOUX;FR
FR;1320;ST NIZIER LE DESERT;FR
FR;1330;STE OLIVE;FR
FR;1240;ST PAUL DE VARAX;FR
FR;1230;ST RAMBERT EN BUGEY;FR
FR;1310;ST REMY;FR
FR;1150;ST SORLIN EN BUGEY;FR
FR;1340;ST SULPICE;FR
FR;1560;ST TRIVIER DE COURTES;FR
FR;1990;ST TRIVIER SUR MOIGNANS;FR
FR;1150;ST VULBAS;FR
FR;1270;SALAVRE;FR
FR;1580;SAMOGNAT;FR
FR;1400;SANDRANS;FR
FR;1150;SAULT BRENAZ;FR
FR;1220;SAUVERNY;FR
FR;1480;SAVIGNEUX;FR
FR;1170;SEGNY;FR
FR;1470;SEILLONNAZ;FR
FR;1630;SERGY;FR
FR;1190;SERMOYER;FR
FR;1470;SERRIERES DE BRIORD;FR
FR;1450;SERRIERES SUR AIN;FR
FR;1960;SERVAS;FR
FR;1560;SERVIGNAT;FR
FR;1420;SEYSSEL;FR
FR;1250;SIMANDRE SUR SURAN;FR
FR;1260;SONGIEU;FR
FR;1580;SONTHONNAX LA MONTAGNE;FR
FR;1150;SOUCLIN;FR
FR;1400;SULIGNAT;FR
FR;1420;SURJOUX;FR
FR;1260;SUTRIEU;FR
FR;1510;TALISSIEU;FR
FR;1230;TENAY;FR
FR;1110;THEZILLIEU;FR
FR;1120;THIL;FR
FR;1710;THOIRY;FR
FR;1140;THOISSEY;FR
FR;1230;TORCIEU;FR
FR;1250;TOSSIAT;FR
FR;1600;TOUSSIEUX;FR
FR;1390;TRAMOYES;FR
FR;1160;LA TRANCLIERE;FR
FR;1370;TREFFORT CUISIAT;FR
FR;1600;TREVOUX;FR
FR;1140;VALEINS;FR
FR;1660;VANDEINS;FR
FR;1160;VARAMBON;FR
FR;1150;VAUX EN BUGEY;FR
FR;1270;VERJON;FR
FR;1560;VERNOUX;FR
FR;1330;VERSAILLEUX;FR
FR;1210;VERSONNEX;FR
FR;1170;VESANCY;FR
FR;1560;VESCOURS;FR
FR;1570;VESINES;FR
FR;1430;VIEU D IZENAVE;FR
FR;1260;VIEU;FR
FR;1330;VILLARS LES DOMBES;FR
FR;1150;VILLEBOIS;FR
FR;1270;VILLEMOTIER;FR
FR;1480;VILLENEUVE;FR
FR;1250;VILLEREVERSURE;FR
FR;1200;VILLES;FR
FR;1320;VILLETTE SUR AIN;FR
FR;1800;VILLIEU LOYES MOLLON;FR
FR;1440;VIRIAT;FR
FR;1510;VIRIEU LE GRAND;FR
FR;1260;VIRIEU LE PETIT;FR
FR;1300;VIRIGNIN;FR
FR;1350;VONGNES;FR
FR;1540;VONNAS;FR
FR;2300;ABBECOURT;FR
FR;2800;ACHERY;FR
FR;2200;ACY;FR
FR;2340;AGNICOURT ET SECHELLES;FR
FR;2190;AGUILCOURT;FR
FR;2110;AISONVILLE ET BERNOVILLE;FR
FR;2820;AIZELLES;FR
FR;2370;AIZY JOUY;FR
FR;2240;ALAINCOURT;FR
FR;2320;ALLEMANT;FR
FR;2290;AMBLENY;FR
FR;2200;AMBRIEF;FR
FR;2190;AMIFONTAINE;FR
FR;2700;AMIGNY ROUY;FR
FR;2600;ANCIENVILLE;FR
FR;2800;ANDELAIN;FR
FR;2800;ANGUILCOURT LE SART;FR
FR;2320;ANIZY LE CHATEAU;FR
FR;2480;ANNOIS;FR
FR;2500;ANY MARTIN RIEUX;FR
FR;2360;ARCHON;FR
FR;2130;ARCY STE RESTITUE;FR
FR;2210;ARMENTIERES SUR OURCQ;FR
FR;2860;ARRANCY;FR
FR;2480;ARTEMPS;FR
FR;2330;ARTONGES;FR
FR;2270;ASSIS SUR SERRE;FR
FR;2840;ATHIES SOUS LAON;FR
FR;2490;ATTILLY;FR
FR;2420;AUBENCHEUL AUX BOIS;FR
FR;2500;AUBENTON;FR
FR;2590;AUBIGNY AUX KAISNES;FR
FR;2820;AUBIGNY EN LAONNOIS;FR
FR;2300;AUDIGNICOURT;FR
FR;2120;AUDIGNY;FR
FR;2220;AUGY;FR
FR;2000;AULNOIS SOUS LAON;FR
FR;2360;LES AUTELS;FR
FR;2250;AUTREMENCOURT;FR
FR;2580;AUTREPPES;FR
FR;2300;AUTREVILLE;FR
FR;2400;AZY SUR MARNE;FR
FR;2290;BAGNEUX;FR
FR;2140;BANCIGNY;FR
FR;2000;BARENTON BUGNY;FR
FR;2000;BARENTON CEL;FR
FR;2270;BARENTON SUR SERRE;FR
FR;2700;BARISIS AUX BOIS;FR
FR;2170;BARZY EN THIERACHE;FR
FR;2850;BARZY SUR MARNE;FR
FR;2380;BASSOLES AULERS;FR
FR;2330;BAULNE EN BRIE;FR
FR;2220;BAZOCHES SUR VESLES;FR
FR;2500;BEAUME;FR
FR;2300;BEAUMONT EN BEINE;FR
FR;2110;BEAUREVOIR;FR
FR;2160;BEAURIEUX;FR
FR;2800;BEAUTOR;FR
FR;2590;BEAUVOIS EN VERMANDOIS;FR
FR;2110;BECQUIGNY;FR
FR;2400;BELLEAU;FR
FR;2420;BELLENGLISE;FR
FR;2200;BELLEU;FR
FR;2420;BELLICOURT;FR
FR;2440;BENAY;FR
FR;2450;BERGUES SUR SAMBRE;FR
FR;2250;BERLANCOURT;FR
FR;2340;BERLISE;FR
FR;2120;BERNOT;FR
FR;2290;BERNY RIVIERE;FR
FR;2820;BERRIEUX;FR
FR;2190;BERRY AU BAC;FR
FR;2800;BERTAUCOURT EPOURDON;FR
FR;2240;BERTHENICOURT;FR
FR;2190;BERTRICOURT;FR
FR;2200;BERZY LE SEC;FR
FR;2300;BESME;FR
FR;2500;BESMONT;FR
FR;2870;BESNY ET LOIZY;FR
FR;2300;BETHANCOURT EN VAUX;FR
FR;2210;BEUGNEUX;FR
FR;2130;BEUVARDES;FR
FR;2310;BEZU LE GUERY;FR
FR;2400;BEZU ST GERMAIN;FR
FR;2300;BICHANCOURT;FR
FR;2290;BIEUXY;FR
FR;2860;BIEVRES;FR
